	persuasion_technique	precision	recall	f1	n_samples
0	Appeal_to_Fear-Prejudice	0.16939890710382513	0.09748427672955975	0.12375249500998003	318
1	Loaded_Language	0.23933855526544823	0.22522522522522523	0.2320675105485232	1221
2	Consequential_Oversimplification	0.21568627450980393	0.1111111111111111	0.14666666666666667	99
3	Name_Calling-Labeling	0.3112745098039216	0.3842662632375189	0.34394041976980366	661
4	Doubt	0.16016713091922005	0.12169312169312169	0.13830426939266388	945
5	Whataboutism	0.0	0.0	0.0	105
6	Obfuscation-Vagueness-Confusion	0.0	0.0	0.0	252
7	Appeal_to_Authority	0.23931623931623933	0.12962962962962962	0.16816816816816815	216
8	Questioning_the_Reputation	0.2577639751552795	0.1596153846153846	0.19714964370546317	520
9	Flag_Waving	0.03296703296703297	0.019736842105263157	0.02469135802469136	152
10	Red_Herring	0.0	0.0	0.0	122
11	Appeal_to_Values	0.2828282828282828	0.15730337078651685	0.20216606498194944	178
12	Conversation_Killer	0.3945578231292517	0.26976744186046514	0.3204419889502762	215
13	Exaggeration-Minimisation	0.13106796116504854	0.1291866028708134	0.13012048192771086	209
14	Guilt_by_Association	0.0	0.0	0.0	315
15	Appeal_to_Hypocrisy	0.19117647058823528	0.12682926829268293	0.15249266862170088	205
16	Appeal_to_Popularity	0.2127659574468085	0.07936507936507936	0.11560693641618495	126
17	Appeal_to_Time	0.0	0.0	0.0	62
18	Causal_Oversimplification	0.23863636363636365	0.14685314685314685	0.18181818181818182	143
19	Straw_Man	0.0	0.0	0.0	155
20	Repetition	0.17532467532467533	0.2076923076923077	0.1901408450704225	130
21	Slogans	0.422680412371134	0.3504273504273504	0.383177570093458	117
22	False_Dilemma-No_Choice	0.21428571428571427	0.15126050420168066	0.17733990147783252	119
